Floor,Location index,AVE (dBm),MED (dBm),Center Freq(MHz),Counts (/100),AP_name
3,ao,-76,-76,2437,9,AP-C2-4F-02
3,ao,-73.72151899,-74,2437,79,AP-C2-4F-03
3,ao,-83.54901961,-84,2437,51,AP-C3-2F-03
3,ao,-81,-81,2437,28,AP-C3-3F-01
3,ao,-83.5,-83.5,2437,14,AP-C3-3F-02
3,ao,-61.46153846,-61,2437,91,AP-C3-3F-03
3,ao,-83,-83,2437,14,AP-C3-4F-02
3,ao,-84.45454545,-84,5180,77,AP-C2-2F-03
3,ao,-85.37931034,-85,5180,58,AP-C2-3F-01
3,ao,-82.45833333,-84,5180,72,AP-C2-3F-02
3,ao,-57.8,-57,5180,100,AP-C2-3F-03
3,ao,-89.14285714,-89,5180,49,AP-C2-4F-03
3,ao,-85.83544304,-86,5180,79,AP-C3-3F-01
3,ao,-86.2,-87,5180,65,AP-C3-3F-02
3,ao,-81,-80.5,5180,56,AP-C3-3F-03
3,ap,-81.75,-81.5,2437,28,AP-C-3F-01
3,ap,-88,-88,2437,2,AP-C2-2F-01
3,ap,-86.5,-87,2437,56,AP-C2-2F-02
3,ap,-75.80555556,-76,2437,72,AP-C2-2F-03
3,ap,-73.75,-76,2437,56,AP-C2-3F-01
3,ap,-68.66666667,-69,2437,72,AP-C2-3F-02
3,ap,-60.68817204,-60,2437,93,AP-C2-3F-03
3,ap,-83.83333333,-83.5,2437,42,AP-C2-4F-03
3,ap,-84.125,-85,2437,16,AP-C2-5F-03
3,ap,-66.69892473,-67,2437,93,AP-C3-2F-03
3,ap,-81.16666667,-80,2437,42,AP-C3-3F-01
3,ap,-80.48275862,-81,2437,58,AP-C3-3F-02
3,ap,-59.19,-60,2437,100,AP-C3-3F-03
3,ap,-83.66666667,-84,2437,42,AP-C3-4F-02
3,ap,-89.11111111,-89,5180,63,AP-C2-2F-03
3,ap,-86.93103448,-87,5180,58,AP-C2-3F-01
3,ap,-81.16666667,-81.5,5180,84,AP-C2-3F-02
3,ap,-70.07526882,-70,5180,93,AP-C2-3F-03
3,ap,-89.91304348,-91,5180,23,AP-C3-3F-01
3,ap,-85.24137931,-85,5180,58,AP-C3-3F-02
3,ap,-74.22093023,-73,5180,86,AP-C3-3F-03
3,aq,-80.86363636,-80,2437,44,AP-C-3F-01
3,aq,-85.58823529,-86,2437,51,AP-C2-2F-02
3,aq,-77.44444444,-77,2437,63,AP-C2-2F-03
3,aq,-72.39240506,-73,2437,79,AP-C2-3F-01
3,aq,-76.48611111,-76,2437,72,AP-C2-3F-02
3,aq,-60.33,-60,2437,100,AP-C2-3F-03
3,aq,-85,-85,2437,7,AP-C2-4F-01
3,aq,-85.5,-85.5,2437,14,AP-C2-4F-02
3,aq,-79.9137931,-79,2437,58,AP-C2-4F-03
3,aq,-86.4375,-86,2437,16,AP-C3-2F-02
3,aq,-67.84,-67,2437,100,AP-C3-2F-03
3,aq,-71.92307692,-72,2437,91,AP-C3-3F-01
3,aq,-80.6,-80,2437,65,AP-C3-3F-02
3,aq,-57.42,-57,2437,100,AP-C3-3F-03
3,aq,-91,-91,5180,7,AP-C2-2F-03
3,aq,-88.5,-88.5,5180,14,AP-C2-3F-01
3,aq,-84.09230769,-84,5180,65,AP-C2-3F-02
3,aq,-75.24050633,-75,5180,79,AP-C2-3F-03
3,aq,-87.13924051,-87,5180,79,AP-C3-2F-03
3,aq,-82.94936709,-82,5180,79,AP-C3-3F-01
3,aq,-85.64615385,-86,5180,65,AP-C3-3F-02
3,aq,-73.01,-74,5180,100,AP-C3-3F-03
3,ar,-83.25,-84,2437,28,AP-C-3F-01
3,ar,-76.60344828,-76,2437,58,AP-C2-2F-03
3,ar,-77.71428571,-77,2437,49,AP-C2-3F-01
3,ar,-76.14285714,-76,2437,49,AP-C2-3F-02
3,ar,-63.02,-63,2437,100,AP-C2-3F-03
3,ar,-76.1,-76,2437,70,AP-C2-4F-03
3,ar,-86.5,-86.5,2437,14,AP-C3-1F-02
3,ar,-66.93,-67,2437,100,AP-C3-2F-03
3,ar,-79.27586207,-80,2437,58,AP-C3-3F-01
3,ar,-70.07142857,-71,2437,98,AP-C3-3F-02
3,ar,-47.98,-48,2437,100,AP-C3-3F-03
3,ar,-88,-88,2437,7,AP-C3-4F-01
3,ar,-74.46835443,-74,2437,79,AP-C3-4F-02
3,ar,-91,-91,5180,7,AP-C2-2F-03
3,ar,-88.71428571,-89,5180,49,AP-C2-3F-01
3,ar,-81.23255814,-80,5180,86,AP-C2-3F-02
3,ar,-74.86111111,-75,5180,72,AP-C2-3F-03
3,ar,-86.75268817,-87,5180,93,AP-C3-2F-03
3,ar,-84.72727273,-86,5180,77,AP-C3-3F-01
3,ar,-78.63636364,-78,5180,77,AP-C3-3F-02
3,ar,-65.77,-65,5180,100,AP-C3-3F-03
3,as,-82,-82,2437,7,AP-C-3F-01
